Scout ID,Match Key,Team Number,Alliance,Driver Station,Preloaded Cargo,Auto Lower Hub,Auto Upper Hub,Auto Misses,Taxied,Auto Shooting Zones,Teleop Lower Hub,Teleop Upper Hub,Teleop Misses,Teleop Shooting Zones,Low Attempted,Mid Attempted,High Attempted,Traversal Attempted,Climb Time,Final Climb Type,How much do they play defense?,Defense Rating,How much were they playing through defense?,Counter Defense Rating,Driver Rating
Matthew,qm49,4499,Red,3,1,0,2,1,1,Elsewhere,0,8,1,Tarmac;Terminal;Elsewhere,,1,1,,9,High,0.0,0,.5,3,4,,,
rehan,qm49,2502,Red,2,1,0,1,0,1,Elsewhere,0,7,3,Tarmac;Opposing Tarmac;Launchpad;Terminal;Elsewhere,,1,1,1,15,Traversal,0.0,0,0.0,0,3,,,
427907
137319
Chris,qm52,180,Red,1,1,0,2,0,1,Elsewhere,0,13,6,Launchpad,,,,,,No Climb,0.0,0,0.0,0,3,,,
shashwat,qm52,2443,Blue,2,1,0,1,0,1,Elsewhere,0,6,4,Elsewhere,,1,1,,23,,0.0,0,.25,4,4,,,
515970
saraansh,qm52,8159,Blue,3,1,0,0,1,1,Tarmac,0,0,0,,,1,1,,26,High,1.0,3,0.0,0,3,,defense,
960442
rehan,qm52,8701,Red,2,1,1,0,0,1,Fender,0,0,0,,,1,1,,10,High,1.0,2,0.0,0,2,,Defense bot,
Aran,qm2443,2443,Blue,2,1,0,2,0,1,Launchpad;Elsewhere,0,5,1,Launchpad;Terminal;Elsewhere,,1,1,,24,High,0.0,0,.25,1,3,,,
Neel,qm52,6036,Blue,1,1,0,5,0,1,Tarmac,0,13,3,Elsewhere,,,,,,No Climb,.25,3,.25,4,5,,,
Matthew,qm52,2202,Red,3,1,0,0,0,1,,0,0,0,,,,,,,No Climb,.75,3,0.0,0,4,,,
saraansh,qm53,7153,Blue,3,1,0,1,0,1,Fender,0,6,0,Fender;Opposing Fender;Tarmac;Opposing Tarmac,,1,,,6,Mid,.25,3,0.0,0,3,,,
Neel,qm53,148,Blue,1,,0,5,0,1,Tarmac,0,19,0,Elsewhere,,1,1,1,13,Traversal,0.0,0,0.0,5,5,,,
shashwat,qm53,2767,Blue,2,,0,1,0,,Elsewhere,0,9,1,Elsewhere,,,,,,,0.0,0,.5,1,4,,Got flipped,
rehan,qm63,2136,Red,2,1,0,3,0,1,Tarmac;Elsewhere,0,4,2,Tarmac,,1,1,,40,No Climb,0.0,0,0.0,0,1,,,
Matthew,qm53,6132,Red,3,1,0,2,0,1,Opposing Fender;Tarmac;Launchpad;Terminal;Elsewhere,0,4,0,Fender;Elsewhere,,1,,,5,Mid,.5,3,0.0,0,4,,,
